型式,行政區,場名,位置,緯度,經度,收費標準,大車,小車,機車,管理業者,聯絡電話,履約起迄
平面,鳳山區,二聖,二聖路&凱旋三路,22.612103,120.328228,小車計時(15元/半小時),0,122,0,竑穗興業股份有限公司,800208333,110/08/01～115/07/31
平面,鳳山區,"鳳山行政中心
西側",光復路二段&建軍路,22.62951,120.34221,"機車計次(10元/日)
小車計時(15元/半小時)",0,317,186,俥亭事業股份有限公司,(07)7406233,113/01/01～117/12/31
平面,鳳山區,衛武營東側,南京路&國興街,22.61903,120.34489,"機車計次(15元/日)
小車計時(15元/半小時)",0,95,120,俥亭事業股份有限公司,(07)7406168,112/01/01～116/03/31
平面,鳳山區,五甲社區,國富路&國富路21巷,22.615336,120.350329,小車計次(30元/6小時),0,176,0,俥亭事業股份有限公司,(07)7406168,113/04/01～118/03/31
平面,鳳山區,五甲七老爺,五甲二路105巷&五甲二路149巷,22.600308,120.341213,"小車計時(15元/半小時)
大車計時(30元/半小時)",22,68,0,俥亭事業股份有限公司,(07)7406168,113/08/01～118/07/31
平面,鳳山區,鳳山田中央,鳳頂路&田中央路,22.594589,120.359333,小車計次(30元/6小時),0,28,10,俥亭事業股份有限公司,(07)7406168,113/09/01～119/2/28
平面,鳳山區,誠勇,誠勇路&鳳頂路,22.608873,120.362363,小車計時(15元/半小時),0,58,0,日月亭股份有限公司,(07)7406168,114/01/01～119/12/31
平面,鳳山區,五甲,國光路65巷&國光路,22.619419,120.35075,小車計次(30元/6小時),0,45,0,和雲行動服務股份有限公司,(02)25171453,109/10/01～114/09/30
平面,鳳山區,北昌,北昌二街&北昌路,22.645779,120.37243,小車計次(30元/6小時),0,106,67,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,國泰青年,光華路&協利街,22.623721,120.348597,小車計次(30元/6小時),0,514,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,中崙,中崙二路&中崙三路,22.603646,120.352514,小車計次(30元/6小時),0,150,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,七老爺,中崙路&中崙五路,22.596873,120.354937,小車計時(15元/半小時),0,69,0,辰淵企業股份有限公司,(07)5368599,113/08/01～119/07/31
平面,鳳山區,鳳陽,瑞智街&瑞大街,22.631674,120.370014,小車計次(30元/6小時),0,37,20,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,鳳甲,鳳甲二街&南華一路,22.59635,120.343114,小車計次(30元/6小時),0,80,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,鳳青,文教路81號對面,22.634431,120.348251,小車計次(30元/8小時),0,18,0,全國專業開發管理股份有限公司,(06)2992256,112/04/03～116/04/02
平面,鳳山區,鳳山鳳頂,鳳頂路&過埤路,22.590625,120.358715,小車計次(30元/6小時),0,64,34,"車棚：環球大宇宙太陽能工業有限公司
停車：凱映國際股份有限公司","0980889269
0903030408","110/06/01～120/04/30
113/03/01～120/04/30"
平面,鳳山區,頂新,頂庄路&頂新五街,22.588327,120.364971,小車計次(30元/6小時),0,26,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,頂明,頂庄路&頂明路,22.588619,120.355031,小車計次(30元/6小時),0,56,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,保華,海涵路&保華一路,22.590172,120.346597,小車計次(30元/6小時),0,68,0,北將科技有限公司,927671855,113/12/01～119/11/30
平面,鳳山區,南成,南和一路&和成路,22.590557,120.338333,小車計次(30元/6小時),0,73,0,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,福誠,福誠三街&福誠五街,22.593667,120.323369,小車計次(30元/6小時),0,46,52,阜爾運通股份有限公司,800208333,109/07/01～113/12/31
平面,鳳山區,瑞興,瑞光路&瑞光街,22.63118,120.370612,小車計次(30元/6小時),0,236,0,和雲行動服務股份有限公司,(02)25171453,109/06/01～116/11/30
平面,鳳山區,鳳山忠誠,鳳北路&鳳北路108巷&北榮街61巷,22.641438,120.367006,小車計次(30元/6小時),0,20,10,俥亭事業股份有限公司,(07)7161838,113/01/01～118/06/30
平面,鳳山區,黃埔新村,中山東路&維武路,22.62039,120.364648,小車計次(30元/6小時),0,49,0,俥亭事業股份有限公司,(07)7161838,113/01/01～118/06/30
平面,鳳山區,黃埔新村二,黃埔新村西一巷,22.619687,120.363647,"小車計時(15元/半小時)
機車計次(15元/日)",0,44,68,俥亭事業股份有限公司,(07)7161838,113/01/01～118/06/30
平面,鳳山區,鳳山捷運機車,捷運鳳山站1號出,22.625852,120.356273,機車計次(15元/日),0,0,166,宜舍企業股份有限公司,(07)2351637,113/08/01～118/07/31
平面,鳳山區,鳳山國中機車,捷運鳳山國中站1號出,22.624442,120.370932,機車計次(15元/日),0,0,363,宜舍企業股份有限公司,(07)2351637,113/08/01～118/07/31
平面,鳳山區,鳳山轉運站機車,鳳山轉運站北側&大東公園西側,22.625697,120.364151,-,0,0,102,-,-,-
平面,鳳山區,五甲停二機車,國光路&國昌路12巷,22.618451,120.353128,-,0,0,42,-,-,-
平面,鳳山區,五甲停三機車,凱旋路&凱旋路341巷,22.614674,120.347144,-,0,0,91,-,-,-
平面,鳥松區,鳥松勞工公園,長庚路北側,22.650639,120.358506,小車計時(15元/半小時),0,190,292,和雲行動服務股份有限公司,(02)25171453,109/04/01～114/03/31
平面,鳥松區,永興,本華路&永善路,22.650987,120.340751,小車計次(30元/6小時),0,45,0,竑穗興業股份有限公司,800208333,110/10/01～115/09/30
平面,鳥松區,觀湖,公園路&近山明街(消防隊旁),22.655457,120.360088,小車計次(30元/6小時),0,79,0,阜爾運通股份有限公司,800208333,110/09/16～115/09/15
平面,鳥松區,澄清湖西側,澄清湖風景區大門左側,22.653542,120.349278,小車計次(30元/6小時),0,18,0,阜爾運通股份有限公司,800208333,110/09/16～115/09/15
平面,鳥松區,鳥松神農,江埤路&美德二街,22.652168,120.390184,小車計次(30元/6小時),0,130,115,俥亭事業股份有限公司,(07)7161838,113/03/01～118/08/31
平面,鳥松區,鳥松育英,琅環二街&育成三街,22.665936,120.358702,小車計次(30元/6小時),0,52,0,俥亭事業股份有限公司,(07)7161838,113/03/01～118/08/31
平面,鳥松區,鳥松仁倉,美山路156號&神農路,22.64887,120.39165,"小車計次(30元/6小時)
大車計次(60元/6小時)",8,16,0,俥亭事業股份有限公司,(07)7161838,113/03/01～118/08/31
平面,鳥松區,鳥松松埔,松埔路37巷8弄&松埔路37巷,22.66076,120.382338,小車計次(30元/6小時),0,22,0,俥亭事業股份有限公司,(07)7161838,113/03/01～118/08/31
平面,鳥松區,鳥松,華山路&華山二街,22.660305,120.393283,小車計次(30元/6小時),0,38,0,全國專業開發管理股份有限公司,(06)2992256,113/12/01～119/11/30
立體,前鎮區,"盛興
(地下)",林森三路145號,22.613565,120.308551,小車計時(15元/半小時),0,382,0,正好停股份有限公司,(07)3850621,114/01/01～119/12/31
立體,前鎮區,"民權
(地下)",泰山街1號,22.608298,120.315859,小車計時(15元/半小時),0,479,0,詮營股份有限公司,(02)77490656,109/10/01～114/09/30
平面,前鎮區,君毅,君毅正勤社區正勤路出入,22.602147,120.303816,小車計次(30元/6小時),0,47,0,國雲科技股份有限公司,800779979,113/04/01～118/03/31
平面,前鎮區,沱江,管仲路&沱江街,22.606672,120.311992,小車計時(15元/半小時),0,78,0,宜舍企業股份有限公司,(07)2351637,112/07/01～116/04/30
平面,前鎮區,英德街,和平二路&英德街,22.613862,120.322347,小車計時(20元/半小時),0,85,25,宜舍企業股份有限公司,(07)2351637,112/06/01～116/04/30
平面,前鎮區,正勤中華,中華五路&正勤路,22.603428,120.307007,"小車計時(15元/半小時)
大車計時(30元/半小時)",4,58,0,國雲科技股份有限公司,800779979,112/11/01～117/10/31
平面,前鎮區,正勤中山,中山三路&正勤路,22.60387,120.308319,小車計時(15元/半小時),0,63,215,日月亭股份有限公司,(07)2351637,109/11/01～114/10/31
平面,前鎮區,獅甲,復興三路&中華五路,22.606232,120.303883,小車計時(15元/半小時),0,46,17,歐特儀股份有限公司,903135731,112/01/01～116/12/31
平面,前鎮區,時代大道,中華五路&時代大道,22.596406,120.308948,小車計時(15元/半小時),0,48,0,歐特儀股份有限公司,903135731,111/11/01～116/10/31
平面,前鎮區,時代大道第二,時代大道＆時代南二路＆時代南一路,22.5972,120.31102,小車計時(15元/半小時),0,149,93,國雲科技股份有限公司,800779979,112/09/01～117/08/31
平面,前鎮區,德昌,德昌路＆同安路,22.583756,120.317067,小車計次(30元/6小時),0,43,16,歐特儀股份有限公司,903135731,112/01/01～116/12/31
平面,前鎮區,后安,后安路＆天倫街,22.573622,120.321956,小車計次(30元/6小時),0,73,0,歐特儀股份有限公司,903135731,112/01/01～116/12/31
平面,前鎮區,管仲,管仲路＆光華三路,22.604613,120.313771,小車計時(15元/半小時),0,229,50,歐特儀股份有限公司,903135731,112/04/01～117/03/31
平面,前鎮區,光華,光華三路＆ㄧ心一路203巷,22.606806,120.316827,小車計次(30元/6小時),0,212,0,歐特儀股份有限公司,903135731,112/04/01～117/03/31
平面,前鎮區,瑞北,瑞北路＆瑞恩街,22.608906,120.329566,小車計次(30元/6小時),0,27,0,歐特儀股份有限公司,903135731,112/05/01～117/04/30
平面,前鎮區,瑞福,瑞福路＆瑞安街,22.607753,120.33541,小車計次(30元/6小時),0,55,26,歐特儀股份有限公司,903135731,112/05/01～117/04/30
平面,前鎮區,瑞豐,瑞豐國小對面,22.606554,120.33581,小車計次(30元/6小時),0,35,34,歐特儀股份有限公司,903135731,112/05/01～117/04/30
平面,前鎮區,瑞昌,瑞隆路190巷4弄＆瑞福路,22.606381,120.335735,小車計次(30元/6小時),0,11,0,歐特儀股份有限公司,903135731,112/05/01～117/04/30
平面,前鎮區,瑞泰,瑞泰街＆瑞福路,22.607057,120.335052,小車計次(30元/6小時),0,26,0,歐特儀股份有限公司,903135731,112/05/01～117/04/30
平面,前鎮區,崗山仔公園,瑞豐國小對面,22.605877,120.337011,小車計時(15元/半小時),0,100,0,歐特儀股份有限公司,903135731,112/03/01～117/02/29
平面,前鎮區,鎮興,凱旋四路＆鎮興路,22.592822,120.311334,小車計次(30元/6小時),0,65,0,歐特儀股份有限公司,903135731,111/08/01～116/07/31
平面,前鎮區,鎮賢,鎮賢街52巷旁,22.589858,120.309262,小車計次(30元/6小時),0,23,20,歐特儀股份有限公司,903135731,111/09/01～116/08/31
平面,前鎮區,鎮榮,鎮榮街＆鎮華街,22.588912,120.30977,小車計次(30元/6小時),0,60,0,歐特儀股份有限公司,903135731,111/08/01～116/07/31
平面,前鎮區,向榮,向榮街＆崇安街,22.571564,120.331,小車計次(30元/6小時),0,17,0,歐特儀股份有限公司,903135731,111/09/01～116/08/31
平面,前鎮區,明義,草衙二路&中平路,22.576667,120.324232,小車計時(15元/半小時),0,32,0,國雲科技股份有限公司,800779979,113/01/01～117/12/31
平面,前鎮區,民權二路,民權二路＆衡山街,22.609261,120.313094,小車計時(15元/半小時),0,47,0,國雲科技股份有限公司,800779979,112/11/01~117/10/31
平面,前鎮區,成功二路,成功二路＆時代大道,22.595218,120.304855,小車計時(15元/半小時),0,63,31,歐特儀股份有限公司,903135731,112/03/01～117/02/29
平面,前鎮區,仁愛三街,仁愛三街18號旁,22.615484,120.311121,小車計時(15元/半小時),0,20,11,歐特儀股份有限公司,903135731,111/11/01～116/10/31
平面,前鎮區,凱旋三路,凱旋三路&賢明路,22.60844,120.325154,小車計次(30元/6小時),0,24,22,歐特儀股份有限公司,903135731,111/08/01～116/07/31
平面,前鎮區,凱旋四路,中華五路＆凱旋四路,22.59448,120.31161,小車計時(15元/半小時),0,150,61,國雲科技股份有限公司,800779979,112/09/01～117/08/31
平面,前鎮區,新光,成功路高雄展覽館旁,22.607547,120.299849,"機車平日計次(15元/日)
機車假日計次(30元/日)
小車平日計時(15元/半小時)
小車假日計時(20元/半小時)
大車平日計時(30元/半小時)
大車假日計時(40元/半小時)",15,677,569,俥亭事業股份有限公司,(07)7161838,114/01/01～116/12/31
平面,前鎮區,前鎮高中機車,捷運前鎮高中站1號出,22.587416,120.322356,機車計次(15元/日),0,0,164,宜舍企業股份有限公司,(07)2351637,113/08/01～118/07/31
平面,前鎮區,前鎮貨櫃車,草衙二路與金福路(台糖貨櫃車停車區內),22.576432,120.325565,"大車月租4,500元",23,0,0,國本通運股份有限公司,(07)821-9223,112/09/01~117/08/31
平面,旗津區,旗津老街,發祥街&旗津三路,22.610511,120.268098,"小車週一至週四計次(50元/6小時)
小車週五&假日計時(25元/半小時)",0,105,0,歐特儀股份有限公司,903135731,112/01/01～116/12/31
平面,旗津區,旗津海岸,旗津海水浴場旁,22.608677,120.26927,"小車週一至週四計次(50元/6小時)
小車週五&假日計時(25元/半小時)
大車週一至週四計次(100元/6小時)
大車週五&假日計時(60元/半小時)",22,92,0,歐特儀股份有限公司,903135731,112/01/01～116/12/31
平面,旗津區,中洲,中洲二路204號旁,22.582749,120.291044,小車週五&假日計次(30元/6小時),0,23,40,歐特儀股份有限公司,903135731,112/01/01～116/12/31
平面,旗津區,中興市場,廣澤街＆商港街,22.573949,120.296518,小車週五&假日計次(30元/6小時),0,18,0,歐特儀股份有限公司,903135731,112/01/01～116/12/31
立體,小港區,"小港
(地下)",小港路175號,22.564404,120.338011,小車計時(15元/半小時),0,219,0,辰淵企業股份有限公司,(07)8159068,111/05/01～116/04/30
平面,小港區,二苓,二苓路176巷,22.566126,120.349662,小車計次(30元/6小時),0,12,24,歐特儀股份有限公司,903135731,112/01/01～116/12/31
平面,小港區,中光,中光街＆中光街22巷,22.571586,120.355798,小車計次(30元/6小時),0,25,0,歐特儀股份有限公司,903135731,111/11/01～116/10/31
平面,小港區,店北,店北路＆店鳳街,22.562744,120.351518,小車計次(30元/6小時),0,21,0,歐特儀股份有限公司,903135731,111/10/01～116/09/30
平面,小港區,松崗,松崗路＆松崗路18巷,22.574795,120.374217,小車計次(30元/6小時),0,19,14,歐特儀股份有限公司,903135731,111/10/01～116/09/30
平面,小港區,華山,華山路＆華仁街,22.568078,120.366209,小車計次(30元/6小時),0,31,0,歐特儀股份有限公司,903135731,111/11/01～116/10/31
平面,小港區,小港鳳陽,鳳陽街18巷&6巷,22.562484,120.370225,小車計次(30元/6小時),0,20,0,國雲科技股份有限公司,800779979,113/01/01～117/12/31
平面,小港區,小港鳳盛,鳳盛街38號對面,22.524321,120.348137,小車計次(30元/6小時),0,17,0,國雲科技股份有限公司,800779979,112/11/01～117/10/31
平面,小港區,小港龍鳳,龍鳳街＆朝福街,22.513435,120.357175,小車計次(30元/6小時),0,30,0,國雲科技股份有限公司,800779979,112/11/01～117/10/31
平面,小港區,港興社區,小港路90巷3弄＆小港路120巷,22.56649,120.342104,小車計次(30元/6小時),0,45,0,國雲科技股份有限公司,800779979,112/11/01～117/10/31
平面,小港區,小港平和,平和路＆平和南路,22.562514,120.335809,小車計次(30元/6小時),0,46,0,"車棚：環球大宇宙太陽能工業有限公司
停車：凱映國際股份有限公司","0980889269
0903030408","110/06/01～120/04/30
113/03/01～120/04/30"
平面,小港區,孔宅,孔宅新路＆孔宅街,22.579181,120.372294,小車計時(15元/半小時),0,34,0,辰淵企業股份有限公司,925018057,112/12/01～118/11/30
平面,小港區,小港高坪,A區：高坪7路＆高坪22路,22.561164,120.388886,小車計次(30元/6小時),0,89,0,"車棚：全盈光電有限公司
停車：辰淵企業股份有限公司","0800035518
0925018057","111/09/01～121/07/31
113/12/21～121/07/31"
,,,B區：高坪23路＆高坪32街,22.556462,120.381135,,,,,,,
平面,小港區,高松,高松路、松直路口,22.571339,120.374668,小車計次(30元/6小時),0,42,0,北將科技有限公司,927671855,113/08/01～119/07/31
平面,大寮區,"大寮仁勇
（仁德116）",大寮地政事務所旁,22.601793,120.394308,-,0,145,103,-,-,-
平面,大寮區,"大寮正氣
（大寮停二）",中山高級工商職業學校對面,22.601793,120.394308,"小車計時(15元/半小時)
大車計時(30元/半小時)",44,130,0,竑穗興業股份有限公司,800208333,110/07/01～115/12/31
立體,林園區,"林園
(地上)",林園南路77號,22.502752,120.395874,計時(15元/半小時),0,244,67,歐特儀股份有限公司,(07)6460526,113/07/01～118/06/30
平面,林園區,林園田中央,東林西路249巷,22.501031,120.388879,小車計次(30元/6小時),0,45,0,國雲科技股份有限公司,800779979,113/01/01～117/12/31
